#,term,status,topic,subtopic,n_words,n_patents,tfidf,score,variants,patents
,flow passage,rejected,,,2,1,15.032,33.6,flow passage,US20160164111A1-20160609
,substrate section,rejected,,,2,1,15.032,33.5,substrate section,US20160149179A1-20160526
,treatment layer,rejected,,,2,1,15.032,33.2,treatment layers | treatment layer,US20160141604A1-20160519
,alkaline solution,rejected,,,2,1,15.032,33.1,alkaline solution,US20060078764A1-20060413
,outlet portion,rejected,,,2,1,15.032,32.0,outlet portion,US20160322617A1-20161103
,enhanced electrochemical property,rejected,,,3,1,10.021,31.6,enhanced electrochemical properties,US20160372750A1-20161222
,inner screen section,rejected,,,3,1,10.021,31.0,inner screen sections,US20060035128A1-20060216
,liquid side,rejected,,,2,1,15.032,30.7,liquid side,US20160164120A1-20160609
,initial stack stage,rejected,,,3,1,10.021,29.8,initial stack stage,US20060099464A1-20060511
,columnar projection,rejected,,,2,1,10.021,29.8,columnar projections,US20160226070A1-20160804
,pulsation amplitude,rejected,,,2,1,10.021,29.8,pulsation amplitude,US20160197367A1-20160707
,siphon fashion,rejected,,,2,1,10.021,29.8,siphon fashion,US20060046123A1-20060302
,top cover plate,rejected,,,3,1,10.021,29.7,top cover plate,US20160172654A1-20160616
,energy generation process,rejected,,,3,1,10.021,29.7,energy generation process,US20160181639A1-20160623
,contact plate,rejected,,,2,1,15.032,29.4,contact plate,US20160190657A1-20160630
,gas inlet,rejected,,,2,1,15.032,29.2,gas inlet,US20160322617A1-20161103
,outer circumferential surface,rejected,,,3,1,10.021,28.7,outer circumferential surface,US20160276637A1-20160922
,correction factor,rejected,,,2,1,10.021,28.7,correction factor,US20060093877A1-20060504
,deformable porous layer,rejected,,,3,1,10.021,28.7,deformable porous layer,US20160276637A1-20160922
,oxidant pressure level,rejected,,,3,1,10.021,28.6,oxidant pressure level,US20170207470A1-20170720
,molar percent,rejected,,,2,1,15.032,28.5,molar percent,US20160118674A1-20160428
,side diffusion layer structure,rejected,,,4,1,10.021,28.5,side diffusion layer structure,US20060134469A1-20060622
,high discharge capacity,rejected,,,3,1,10.021,28.3,high discharge capacity,US20160190560A1-20160630
,off position,rejected,,,2,1,10.021,28.0,off position,US20160156047A1-20160602
,fluid flow path,rejected,,,3,1,20.043,27.9,fluid flow path,US20160141692A1-20160519
,water pressure level,rejected,,,3,1,10.021,27.5,water pressure level,US20170207470A1-20170720
,organic residue,rejected,,,2,1,10.021,27.4,organic residue,US20060014066A1-20060119
,stacked reactor,rejected,,,2,1,10.021,27.4,stacked reactor,US20060046113A1-20060302
,operation probability,rejected,,,2,1,10.021,27.2,operation probability,US20160172657A1-20160616
,aqueous emulsion,rejected,,,2,1,10.021,27.1,aqueous emulsion,US20160141625A1-20160519
,circumferential edge,rejected,,,2,1,10.021,26.9,circumferential edge,US20160172635A1-20160616
,external impact,rejected,,,2,1,10.021,26.9,external impact,US20070231687A1-20071004
,operating agent,rejected,,,2,1,10.021,26.9,operating agents,US20160204461A1-20160714
,acid ester,rejected,,,2,1,20.043,26.7,acid esters,US20160164144A1-20160609
,fuel cell stack stage,rejected,,,4,1,10.021,26.6,fuel cell stack stage,US20060099464A1-20060511
,formula sizge,rejected,,,2,1,10.021,26.5,formula sizge,US20100190059A1-20100729
,battery retention section,rejected,,,3,1,10.021,26.3,battery retention sections | battery retention section,US20160276637A1-20160922
,heat-resistant metal layer,rejected,,,3,1,10.021,26.3,heat-resistant metal layer,US20160204397A1-20160714
,adjacent fuel cell stack,rejected,,,4,1,10.021,26.3,adjacent fuel cell stacks,US20160204461A1-20160714
,heat resistance layer,rejected,,,3,1,10.021,26.1,heat resistance layer,US20160211554A1-20160721
,iron content,rejected,,,2,1,10.021,26.1,iron content,US20160149214A1-20160526
,upper boundary,rejected,,,2,1,10.021,26.1,upper boundary,US20060046125A1-20060302
,electrical isolation,rejected,,,2,1,10.021,26.0,electrical isolation,US20060141306A1-20060629
,maintenance time,rejected,,,2,1,10.021,26.0,maintenance time,US20160172673A1-20160616
,adherent contact,rejected,,,2,1,10.021,25.5,adherent contact,US20060105244A1-20060518
,non-positive contact,rejected,,,2,1,10.021,25.5,non-positive contact,US20060078789A1-20060413
,insulating property,rejected,,,2,1,10.021,25.2,insulating property,US20160211494A1-20160721
,main channel,rejected,,,2,1,10.021,25.1,main channels,US20160204461A1-20160714
,supporting body,rejected,,,2,1,10.021,25.1,supporting body,US20160111749A1-20160421
,wetting pressure,rejected,,,2,1,10.021,25.1,wetting pressure,US20160164120A1-20160609
,outer shell,rejected,,,2,1,10.021,25.0,outer shell,US20160226044A1-20160804
,structural film,rejected,,,2,1,15.032,24.9,structural film,US20060029850A1-20060209
,additive medium,rejected,,,2,1,10.021,24.8,additive medium,US20160218380A1-20160728
,potential mean,rejected,,,2,1,10.021,24.8,potential means,US20060071209A1-20060406
,high permeability,rejected,,,2,1,10.021,24.7,high permeability,US20170005341A1-20170105
,temperature rise,rejected,,,2,1,10.021,24.6,temperature rise,US20160172673A1-20160616
,bulk portion,rejected,,,2,1,10.021,24.5,bulk portion,US20170200955A1-20170713
,remaining part,rejected,,,2,1,10.021,24.5,remaining parts,US20070231687A1-20071004
,retention member,rejected,,,2,1,10.021,24.5,retention member,US20060040173A1-20060223
,energy generation,rejected,,,2,1,20.043,24.4,energy generation,US20160181639A1-20160623
,pressure difference,rejected,,,2,1,10.021,24.0,pressure difference,US20160197367A1-20160707
,raised portion,rejected,,,2,1,10.021,23.9,raised portion,US20160141568A1-20160519
,unit weight,rejected,,,2,1,10.021,23.7,unit weight,US20160141719A1-20160519
,outer wall,rejected,,,2,1,10.021,23.5,outer wall,US20160218404A1-20160728
,hybrid device,rejected,,,2,1,10.021,23.4,hybrid device,US20160164128A1-20160609
,supporting unit,rejected,,,2,1,10.021,23.4,supporting units,US20160111749A1-20160421
,flow barrier,rejected,,,2,1,10.021,23.4,flow barriers,US20160218378A1-20160728
,insulative layer,rejected,,,2,1,10.021,23.2,insulative layer,US20160218404A1-20160728
,opening device,rejected,,,2,1,10.021,23.0,opening device | opening devices,US20060172171A1-20060803
,reaction unit,rejected,,,2,1,10.021,22.9,reaction units | reaction unit,US20060068260A1-20060330
,voltage level,rejected,,,2,1,10.021,22.8,voltage level,US20170207470A1-20170720
,high rate,rejected,,,2,1,10.021,22.6,high rate,US20160190560A1-20160630
,compliant layer,rejected,,,2,1,10.021,22.6,compliant layer,US20060046125A1-20060302
,conductive mean,rejected,,,2,1,10.021,22.6,conductive means,US20160218382A1-20160728
,swollen membrane-induced failure mechanism,rejected,,,4,1,5.011,22.5,swollen membrane-induced failure mechanisms,US20060093875A1-20060504
,open side,rejected,,,2,1,10.021,22.4,open side,US20160301041A1-20161013
,stack stage,rejected,,,2,1,20.043,22.3,stack stage,US20060099464A1-20060511
,unused fuel,rejected,,,2,1,10.021,22.1,unused fuel,US20060046108A1-20060302
,pressure level,rejected,,,2,1,20.043,22.0,pressure level,US20170207470A1-20170720
,current value,rejected,,,2,1,15.032,22.0,current value,US20060093877A1-20060504
,cell compartment,rejected,,,2,1,10.021,21.7,cell compartments,US20090169978A1-20090702
,current level,rejected,,,2,1,10.021,21.6,current level,US20170207470A1-20170720
,power level,rejected,,,2,1,10.021,21.6,power level,US20170207470A1-20170720
,conducting plate,rejected,,,2,1,10.021,21.5,conducting plate,US20160190657A1-20160630
,control unit,rejected,,,2,1,20.043,21.5,control unit,US20160197367A1-20160707
,quaternary ruthenium-rhenium alloys rumeimeiire,rejected,,,4,1,5.011,20.9,quaternary ruthenium-rhenium alloys rumeimeiire,US20160118671A1-20160428
,conductive substrate,rejected,,,2,1,10.021,20.8,conductive substrate,US20170062800A1-20170302
,fuel cell component,rejected,,,3,1,10.021,20.8,fuel cell component,US20060093735A1-20060504
,high temperature,rejected,,,2,1,10.021,20.8,high temperature,US20160233546A1-20160811
,contact unit,rejected,,,2,1,10.021,20.6,contact unit,US20060141349A1-20060629
,relieved edge region relative,rejected,,,4,1,5.011,20.5,relieved edge region relative,US20060046124A1-20060302
,reduced thickness section thinner,rejected,,,4,1,5.011,20.2,reduced thickness section thinner,US20160149179A1-20160526
,battery type,rejected,,,2,1,10.021,20.2,battery type,US20060068274A1-20060330
,terminal surface,rejected,,,2,1,15.032,20.0,terminal surface,US20160240835A1-20160818
,high tech drain rate,rejected,,,4,1,5.011,19.6,high tech drain rate,US20060068288A1-20060330
,fuel cell device,rejected,,,3,1,10.021,19.5,fuel cell device,US20060172171A1-20060803
,external complementary connector part,rejected,,,4,1,5.011,19.5,external complementary connector parts,US20060141349A1-20060629
,constant voltage charging reache,rejected,,,4,1,5.011,19.4,constant voltage charging reaches,US20170092937A1-20170330
,expensive connecting technique,rejected,,,3,1,5.011,19.3,expensive connecting techniques,US20160172635A1-20160616
,gas control unit,rejected,,,3,1,15.032,19.2,gas control unit,US20160197367A1-20160707
,porous layer,rejected,,,2,1,20.043,19.2,porous layer,US20160276637A1-20160922
,surface portion,rejected,,,2,1,10.021,19.2,surface portion,US20170200955A1-20170713
,long service life,rejected,,,3,1,5.011,19.0,long service life,US20060078764A1-20060413
,side plate,rejected,,,2,1,10.021,18.9,side plates,US20160164053A1-20160609
,ruthenium alloys rumeimeii,rejected,,,3,1,5.011,18.7,ruthenium alloys rumeimeii,US20160118671A1-20160428
,aqueous solution container in-situ,rejected,,,4,1,5.011,18.7,aqueous solution container in-situ,US20060046123A1-20060302
,recommended particle size distribution,rejected,,,4,1,5.011,18.5,recommended particle size distribution,US20060121327A1-20060608
,flow rate requirements increase,rejected,,,4,1,5.011,18.5,flow rate requirements increase,US20060078768A1-20060413
,liquid water discharging function,rejected,,,4,1,5.011,18.4,liquid water discharging function,US20160156053A1-20160602
,below-described chemical formula,rejected,,,3,1,5.011,18.3,below-described chemical formula,US20060014066A1-20060119
,strong external force,rejected,,,3,1,5.011,18.3,strong external force,US20160233469A1-20160811
,composite material,rejected,,,2,1,15.032,18.2,composite material,US20160141582A1-20160519
,combined molar percent,rejected,,,3,1,5.011,18.2,combined molar percent,US20160118674A1-20160428
,superior lifespan characteristics,rejected,,,3,1,5.011,18.2,superior lifespan characteristics,US20160181609A1-20160623
,x4 represents po4,rejected,,,3,1,5.011,18.2,x4 represents po4,US20160126539A1-20160505
,plural non-aqueous electrolytic solution,rejected,,,4,1,5.011,18.0,plural non-aqueous electrolytic solutions,US20160164140A1-20160609
,carbonate bond chain,rejected,,,3,1,5.011,18.0,carbonate bond chains,US20160181616A1-20160623
,large domain size,rejected,,,3,1,5.011,18.0,large domain sizes,US20060014067A1-20060119
,lithium mixture undergoes calcination,rejected,,,4,1,5.011,17.9,lithium mixture undergoes calcination,US20160172673A1-20160616
,adjunct component mount,rejected,,,3,1,5.011,17.5,adjunct component mounts,US20060099464A1-20060511
,body accommodating electrical component,rejected,,,4,1,5.011,17.5,body accommodating electrical components,US20060068274A1-20060330
,optimum discharge efficiency,rejected,,,3,1,5.011,17.4,optimum discharge efficiencies,US20060068288A1-20060330
,lithium ion absorbing potential,rejected,,,4,1,5.011,17.4,lithium ion absorbing potential,US20160126546A1-20160505
,edge stress relief,rejected,,,3,1,5.011,17.3,edge stress relief,US20060046124A1-20060302
,internal electrical resistance level,rejected,,,4,1,5.011,17.3,internal electrical resistance levels,US20160211535A1-20160721
,simple sintering process,rejected,,,3,1,5.011,17.3,simple sintering process,US20170005341A1-20170105
,fine uneven structure,rejected,,,3,1,5.011,17.1,fine uneven structure,US20160156053A1-20160602
,electrically-conductive mating surface,rejected,,,3,1,5.011,17.0,electrically-conductive mating surfaces,US20060121327A1-20060608
,good thermal stability,rejected,,,3,1,5.011,16.9,good thermal stability,US20170005341A1-20170105
,water condensation collection,rejected,,,3,1,5.011,16.9,water condensation collection,US20060099464A1-20060511
,silicon secondary particles act,rejected,,,4,1,5.011,16.8,silicon secondary particles act,US20160190570A1-20160630
,reduced internal stress,rejected,,,3,1,5.011,16.8,reduced internal stress,US20060093875A1-20060504
,excellent initial performance,rejected,,,3,1,5.011,16.8,excellent initial performance,US20160190602A1-20160630
,cell unit,rejected,,,2,1,10.021,16.7,cell unit,US20060141349A1-20060629
,angled land surface,rejected,,,3,1,5.011,16.7,angled land surfaces,US20060046125A1-20060302
,low soc state,rejected,,,3,1,5.011,16.7,low soc state,US20160164093A1-20160609
,dc current calculation,rejected,,,3,1,5.011,16.7,dc current calculation,US20060093877A1-20060504
,low drain rate,rejected,,,3,1,5.011,16.6,low drain rate,US20060068288A1-20060330
,free inner chamber,rejected,,,3,1,5.011,16.6,free inner chamber,US20160218378A1-20160728
,reduced thickness section,rejected,,,3,1,10.021,16.5,reduced thickness section,US20160149179A1-20160526
,optimized pore structure,rejected,,,3,1,5.011,16.5,optimized pore structure,US20160372750A1-20161222
,excellent cycle characteristics,rejected,,,3,1,5.011,16.4,excellent cycle characteristics,US20160164091A1-20160609
,power generating function,rejected,,,3,1,5.011,16.4,power generating function,US20160156053A1-20160602
,room temperature operation,rejected,,,3,1,5.011,16.3,room temperature operation,US20160149249A1-20160526
,metal box mountable,rejected,,,3,1,5.011,16.2,metal box mountable,US20160211494A1-20160721
,ceramic separator glued,rejected,,,3,1,5.011,16.2,ceramic separator glued,US20060105244A1-20060518
,builds up pressure,rejected,,,3,1,5.011,16.2,builds up pressure,US20160226044A1-20160804
,temperature rising time,rejected,,,3,1,5.011,16.2,temperature rising time,US20160172674A1-20160616
,external mounting part,rejected,,,3,1,5.011,16.1,external mounting part,US20160164053A1-20160609
,connection bar extend,rejected,,,3,1,5.011,16.1,connection bar extends,US20160240827A1-20160818
,battery assembly retained relative,rejected,,,4,1,5.011,16.0,battery assembly retained relative,US20170214011A1-20170727
,degree celsius,rejected,,,2,1,5.011,16.0,degree celsius,US20160218404A1-20160728
,diagonal orientation,rejected,,,2,1,5.011,16.0,diagonal orientation,US20060093875A1-20060504
,find utility,rejected,,,2,1,5.011,16.0,find utility,US20160372750A1-20161222
,human skin,rejected,,,2,1,5.011,16.0,human skin,US20160233469A1-20160811
,proper selection,rejected,,,2,1,5.011,16.0,proper selection,US20060046123A1-20060302
,rapid heat-up,rejected,,,2,1,5.011,16.0,rapid heat-up,US20160211535A1-20160721
,reverse configuration,rejected,,,2,1,5.011,16.0,reverse configuration,US20070009802A1-20070111
,round trip,rejected,,,2,1,5.011,16.0,round trips,US20160211562A1-20160721
,synchronous electromagnetic,rejected,,,2,1,5.011,16.0,synchronous electromagnetic,US20060046108A1-20060302
,tortuous pathway,rejected,,,2,1,5.011,16.0,tortuous pathway,US20090169978A1-20090702
,downsized power source,rejected,,,3,1,5.011,16.0,downsized power source,US20060040173A1-20060223
,introduce cooling air,rejected,,,3,1,5.011,15.9,introduce cooling air,US20160211560A1-20160721
,takes cooling air,rejected,,,3,1,5.011,15.9,takes cooling air,US20160211561A1-20160721
,high oxygen permeability,rejected,,,3,1,5.011,15.7,high oxygen permeability,US20170005341A1-20170105
,water management capability,rejected,,,3,1,5.011,15.7,water management capabilities,US20060093735A1-20060504
,membrane films swell,rejected,,,3,1,5.011,15.7,membrane films swell,US20060093875A1-20060504
,battery pack array retention,rejected,,,4,1,5.011,15.6,battery pack array retention,US20170214013A1-20170727
,heated cooling fluid,rejected,,,3,1,5.011,15.6,heated cooling fluid,US20060105209A1-20060518
,low internal resistance,rejected,,,3,1,5.011,15.5,low internal resistance,US20160233546A1-20160811
,sealed extension portion,rejected,,,3,1,5.011,15.5,sealed extension portions,US20070231687A1-20071004
,reduced stack thickness,rejected,,,3,1,5.011,15.5,reduced stack thickness,US20060127706A1-20060615
,nonaqueous electrolyte battery become,rejected,,,4,1,5.011,15.5,nonaqueous electrolyte battery becomes,US20160126546A1-20160505
,ion-conducting species,rejected,,,2,1,5.011,15.4,ion-conducting species,US20160149249A1-20160526
,long cycle-life,rejected,,,2,1,5.011,15.4,long cycle-life,US20060051674A1-20060309
,optimum microstructure,rejected,,,2,1,5.011,15.4,optimum microstructure,US20060121327A1-20060608
,oval shape,rejected,,,2,1,5.011,15.4,oval shape,US20160156047A1-20160602
,substantial loss,rejected,,,2,1,5.011,15.4,substantial loss,US20060093921A1-20060504
,flow fields maintain,rejected,,,3,1,5.011,15.4,flow fields maintain,US20060035133A1-20060216
,energy storage device component,rejected,,,4,1,5.011,15.4,energy storage device components,US20160226070A1-20160804
,system coolant inlet pressure,rejected,,,4,1,5.011,15.4,system coolant inlet pressure,US20060134483A1-20060622
,anode's electrochemical capacity,rejected,,,3,1,5.011,15.3,anode's electrochemical capacity,US20060068288A1-20060330
,cathode's electrochemical capacity,rejected,,,3,1,5.011,15.3,cathode's electrochemical capacity,US20060068288A1-20060330
,electricity receiving source,rejected,,,3,1,5.011,15.3,electricity receiving source,US20060035128A1-20060216
,low water content,rejected,,,3,1,5.011,15.3,low water content,US20160126539A1-20160505
,added strength,rejected,,,2,1,5.011,15.1,added strength,US20060029850A1-20060209
,blood filtration,rejected,,,2,1,5.011,15.1,blood filtration,US20160301084A1-20161013
,controller operative,rejected,,,2,1,5.011,15.1,controller operative,US20060051632A1-20060309
,decrease solubility,rejected,,,2,1,5.011,15.1,decrease solubility,US20160211539A1-20160721
,specific dimension,rejected,,,2,1,5.011,15.1,specific dimensions,US20160248088A1-20160825
,wastewater filtration,rejected,,,2,1,5.011,15.1,wastewater filtration,US20160301084A1-20161013
,dc current value,rejected,,,3,1,5.011,15.1,dc current value,US20060093877A1-20060504
,high reversible capacity,rejected,,,3,1,5.011,15.0,high reversible capacity,US20060051674A1-20060309
,pem fuel cell application,rejected,,,4,1,5.011,14.9,pem fuel cell applications,US20060035119A1-20060216
,industrial manufacturing method,rejected,,,3,1,5.011,14.9,industrial manufacturing method,US20160172674A1-20160616
,axis perpendicular,rejected,,,2,1,5.011,14.9,axis perpendicular,US20160211562A1-20160721
,expansion joint,rejected,,,2,1,5.011,14.9,expansion joint,US20060078789A1-20060413
,oxygen-containing environment,rejected,,,2,1,5.011,14.9,oxygen-containing environment,US20170062800A1-20170302
,recessed relative,rejected,,,2,1,5.011,14.9,recessed relative,US20160172635A1-20160616
,return aperture,rejected,,,2,1,5.011,14.9,return apertures,US20060035133A1-20060216
,small bleed,rejected,,,2,1,5.011,14.9,small bleed,US20060134483A1-20060622
,small radius,rejected,,,2,1,5.011,14.9,small radius,US20160233469A1-20160811
,thin shim,rejected,,,2,1,5.011,14.9,thin shim,US20060127706A1-20060615
,battery management unit control,rejected,,,4,1,5.011,14.9,battery management unit controls,US20160211494A1-20160721
,inner flat plate,rejected,,,3,1,5.011,14.8,inner flat plate,US20060035128A1-20060216
,return flow direction,rejected,,,3,1,5.011,14.8,return flow directions,US20160211562A1-20160721
,positive potential end,rejected,,,3,1,5.011,14.7,positive potential end,US20060141306A1-20060629
,gas-tight manner,rejected,,,2,1,5.011,14.7,gas-tight manner,US20060046113A1-20060302
,removable manner,rejected,,,2,1,5.011,14.7,removable manner,US20160226044A1-20160804
,saturation concentration,rejected,,,2,1,5.011,14.7,saturation concentration,US20160211539A1-20160721
,single piece,rejected,,,2,1,5.011,14.7,single piece,US20160218378A1-20160728
,protruding end portion,rejected,,,3,1,5.011,14.6,protruding end portion,US20160240827A1-20160818
,adjacent fuel cell bundle,rejected,,,4,1,5.011,14.6,adjacent fuel cell bundles,US20060035128A1-20060216
,electrical isolating assembly,rejected,,,3,1,5.011,14.6,electrical isolating assembly,US20060141306A1-20060629
,constant stoichiometry,rejected,,,2,1,5.011,14.6,constant stoichiometry,US20060127709A1-20060615
,curved shape,rejected,,,2,1,5.011,14.6,curved shape,US20160218387A1-20160728
,longitudinal axis,rejected,,,2,1,5.011,14.6,longitudinal axis,US20060078789A1-20060413
,overall life,rejected,,,2,1,5.011,14.6,overall life,US20100183906A1-20100722
,plastic property,rejected,,,2,1,5.011,14.6,plastic property,US20160141735A1-20160519
,width dimension,rejected,,,2,1,5.011,14.6,width dimensions,US20060046113A1-20060302
,fuel delivery mean,rejected,,,3,1,5.011,14.6,fuel delivery means,US20060046123A1-20060302
,high output voltage,rejected,,,3,1,5.011,14.6,high output voltage,US20060078764A1-20060413
,low flow rate,rejected,,,3,1,5.011,14.6,low flow rate,US20060078768A1-20060413
,metal plate workpiece,rejected,,,3,1,5.011,14.5,metal plate workpiece,US20160149179A1-20160526
,reaction site,rejected,,,2,1,5.011,14.4,reaction sites,US20160218380A1-20160728
,microloop recirculation,rejected,,,2,1,5.011,14.3,microloop recirculation,US20060134483A1-20060622
,reactant delivery,rejected,,,2,1,5.011,14.3,reactant delivery,US20060035133A1-20060216
,reactant feed,rejected,,,2,1,5.011,14.3,reactant feed,US20060127706A1-20060615
,uniform compression,rejected,,,2,1,5.011,14.3,uniform compression,US20060046124A1-20060302
,nonaqueous electrolyte rechargeable material,rejected,,,4,1,5.011,14.3,nonaqueous electrolyte rechargeable material,US20160164091A1-20160609
,metal mating surface,rejected,,,3,1,5.011,14.3,metal mating surfaces,US20060121327A1-20060608
,brought back,rejected,,,2,1,5.011,14.2,brought back,US20060035119A1-20060216
,house excess,rejected,,,2,1,5.011,14.2,house excess,US20160141735A1-20160519
,production efficiency,rejected,,,2,1,5.011,14.2,production efficiency,US20060040173A1-20060223
,sheathing cover,rejected,,,2,1,5.011,14.2,sheathing cover,US20160164053A1-20160609
,ambient concentration,rejected,,,2,1,5.011,14.2,ambient concentration,US20160190637A1-20160630
,becomes flexible,rejected,,,2,1,5.011,14.2,becomes flexible,US20160233469A1-20160811
,cycle live,rejected,,,2,1,5.011,14.2,cycle lives,US20100190059A1-20100729
,dcir increase,rejected,,,2,1,5.011,14.2,dcir increases,US20160164093A1-20160609
,increased concentration,rejected,,,2,1,5.011,14.2,increased concentrations,US20160211539A1-20160721
,later operation,rejected,,,2,1,5.011,14.2,later operation,US20060046124A1-20060302
,preferable range,rejected,,,2,1,5.011,14.2,preferable range,US20060046123A1-20060302
,absolute value,rejected,,,2,1,5.011,14.1,absolute value,US20160164104A1-20160609
,startup time,rejected,,,2,1,5.011,14.1,startup time,US20060134483A1-20060622
,thermal equilibrium,rejected,,,2,1,5.011,14.1,thermal equilibrium,US20060105209A1-20060518
,fluid flow communication,rejected,,,3,1,5.011,14.1,fluid flow communication,US20160141692A1-20160519
,separator plates extend,rejected,,,3,1,5.011,14.0,separator plates extends,US20160164111A1-20160609
,crystalline matrix,rejected,,,2,1,5.011,14.0,crystalline matrix,US20160118674A1-20160428
,even distribution,rejected,,,2,1,5.011,14.0,even distribution,US20060093875A1-20060504
,interior region,rejected,,,2,1,5.011,14.0,interior region,US20060046124A1-20060302
,return header,rejected,,,2,1,5.011,14.0,return header,US20060035133A1-20060216
,volumetric change,rejected,,,2,1,5.011,14.0,volumetric change,US20160190570A1-20160630
,structural film layer,rejected,,,3,1,5.011,14.0,structural film layer,US20060029850A1-20060209
,unique battery terminal,rejected,,,3,1,5.011,14.0,unique battery terminal,US20090169978A1-20090702
,carbon monoxide gas,rejected,,,3,1,5.011,13.9,carbon monoxide gas,US20060035119A1-20060216
,resonance level,rejected,,,2,1,5.011,13.9,resonance level,US20060071209A1-20060406
,sensor application,rejected,,,2,1,5.011,13.9,sensor applications,US20160301084A1-20161013
,main object,rejected,,,2,1,5.011,13.8,main object,US20160248093A1-20160825
,sealed volume,rejected,,,2,1,5.011,13.8,sealed volume,US20160218404A1-20160728
,activation step,rejected,,,2,1,5.011,13.8,activation step,US20070009802A1-20070111
,compression stress,rejected,,,2,1,5.011,13.8,compression stress,US20060046124A1-20060302
,high current density,rejected,,,3,1,5.011,13.8,high current density,US20060105214A1-20060518
,height direction,rejected,,,2,1,5.011,13.7,height direction,US20160172654A1-20160616
,insertion direction,rejected,,,2,1,5.011,13.7,insertion direction,US20160276637A1-20160922
,lateral direction,rejected,,,2,1,5.011,13.7,lateral direction,US20160172654A1-20160616
,precursor composite structure,rejected,,,3,1,5.011,13.7,precursor composite structure,US20070009802A1-20070111
,overall performance,rejected,,,2,1,5.011,13.7,overall performance,US20060105214A1-20060518
,housing case housing,rejected,,,3,1,5.011,13.6,housing case housing,US20160211561A1-20160721
,air flow control,rejected,,,3,1,5.011,13.6,air flow control,US20060099464A1-20060511
,increase adhesion,rejected,,,2,1,5.011,13.6,increase adhesion,US20160141604A1-20160519
,opened state,rejected,,,2,1,5.011,13.6,opened state,US20060051632A1-20060309
,operating condition,rejected,,,2,1,5.011,13.6,operating condition,US20160197367A1-20160707
,optimal ratio,rejected,,,2,1,5.011,13.6,optimal ratio,US20170005341A1-20170105
,stamped bridge,rejected,,,2,1,10.021,13.6,stamped bridges | stamped bridge,US20060035133A1-20060216
,coolant begin,rejected,,,2,1,5.011,13.5,coolant begins,US20060134483A1-20060622
,differential value,rejected,,,2,1,5.011,13.5,differential value,US20160164104A1-20160609
,membrane process direction,rejected,,,3,1,5.011,13.5,membrane process direction,US20060093875A1-20060504
,net amount,rejected,,,2,1,5.011,13.5,net amount,US20060046123A1-20060302
,theoretical amount,rejected,,,2,1,5.011,13.5,theoretical amount,US20160181609A1-20160623
,voltage spike,rejected,,,2,1,5.011,13.5,voltage spike,US20060078764A1-20060413
,driven pump,rejected,,,2,1,5.011,13.5,driven pump,US20060046108A1-20060302
,energy specification,rejected,,,2,1,5.011,13.5,energy specification,US20170005377A1-20170105
,top edge,rejected,,,2,1,5.011,13.5,top edge,US20070231687A1-20071004
,outer circumference,rejected,,,2,1,5.011,13.4,outer circumference,US20070231687A1-20071004
,outer perimeter,rejected,,,2,1,5.011,13.4,outer perimeter,US20060046124A1-20060302
,folding part,rejected,,,2,1,5.011,13.3,folding part,US20160240883A1-20160818
,successive part,rejected,,,2,1,5.011,13.3,successive parts,US20060035119A1-20060216
,adsorbed water,rejected,,,2,1,5.011,13.3,adsorbed water,US20160211515A1-20160721
,water condensate,rejected,,,2,1,5.011,13.3,water condensate,US20060099464A1-20060511
,water dispersion,rejected,,,2,1,5.011,13.3,water dispersion,US20160181616A1-20160623
,water impermeability,rejected,,,2,1,5.011,13.3,water impermeability,US20160141582A1-20160519
,barrier sheet,rejected,,,2,1,15.032,13.3,barrier sheet,US20160204491A1-20160714
,physical contact,rejected,,,2,1,5.011,13.3,physical contact,US20060078764A1-20060413
,adjacent mea,rejected,,,2,1,5.011,13.2,adjacent meas,US20060127706A1-20060615
,high adhesiveness,rejected,,,2,1,5.011,13.2,high adhesiveness,US20160181616A1-20160623
,high flexibility,rejected,,,2,1,5.011,13.2,high flexibility,US20160181616A1-20160623
,basic solution,rejected,,,2,1,5.011,13.2,basic solution,US20160190579A1-20160630
,direction perpendicular,rejected,,,2,1,5.011,13.2,direction perpendicular,US20060078789A1-20060413
,elevated temperature,rejected,,,2,1,5.011,13.2,elevated temperature,US20160211535A1-20160721
,reference temperature,rejected,,,2,1,5.011,13.2,reference temperature,US20160226110A1-20160804
,nickel content,rejected,,,2,1,5.011,13.1,nickel content,US20160190579A1-20160630
,right end,rejected,,,2,1,5.011,13.1,right end,US20160211561A1-20160721
,superatmospheric pressure,rejected,,,2,1,5.011,13.1,superatmospheric pressures,US20060105214A1-20060518
,curved path,rejected,,,2,1,5.011,13.1,curved path,US20160204397A1-20160714
,internal pore,rejected,,,2,1,5.011,13.1,internal pores,US20160190570A1-20160630
,mass ratio,rejected,,,2,1,5.011,13.1,mass ratio,US20160164104A1-20160609
,plane extend,rejected,,,2,1,5.011,13.1,plane extends,US20060046125A1-20060302
,available space,rejected,,,2,1,5.011,13.0,available space,US20160156047A1-20160602
,grinding space,rejected,,,2,1,5.011,13.0,grinding space,US20160164085A1-20160609
,non-aqueous electrode rechargeable battery,rejected,,,4,1,5.011,13.0,non-aqueous electrode rechargeable battery,US20160164093A1-20160609
,structural characteristics,rejected,,,2,1,5.011,13.0,structural characteristics,US20160190570A1-20160630
,carbon nanostructue,rejected,,,2,1,5.011,13.0,carbon nanostructues,US20060051674A1-20060309
